id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-238208,medium,The Ubuntu operating system must require users to reauthenticate for privilege escalation or when changing roles.,"Without reauthentication, users may access resources or perform tasks for which they do not have authorization.  
 
When operating systems provide the capability to escalate a functional capability, it is critical the user reauthenticate.

Satisfies: SRG-OS-000373-GPOS-00156, SRG-OS-000373-GPOS-00157",None,SV-238208r853405_rule,F-41377r653798_fix,"Remove any occurrence of ""NOPASSWD"" or ""!authenticate"" found in ""/etc/sudoers"" file or files in the ""/etc/sudoers.d"" directory.",C-41418r653797_chk,"Verify the ""/etc/sudoers"" file has no occurrences of ""NOPASSWD"" or ""!authenticate"" by running the following command: 
 
$ sudo egrep -i '(nopasswd|!authenticate)' /etc/sudoers /etc/sudoers.d/* 
 
If any occurrences of ""NOPASSWD"" or ""!authenticate"" return from the command, this is a finding."
V-238209,medium,The Ubuntu operating system default filesystem permissions must be defined in such a way that all authenticated users can read and modify only their own files.,Setting the most restrictive default permissions ensures that when new accounts are created they do not have unnecessary access.,None,SV-238209r653802_rule,F-41378r653801_fix,"Configure the system to define the default permissions for all authenticated users in such a way that the user can read and modify only their own files. 
 
Edit the ""UMASK"" parameter in the ""/etc/login.defs"" file to match the example below: 
 
UMASK 077",C-41419r653800_chk,"Verify the Ubuntu operating system defines default permissions for all authenticated users in such a way that the user can read and modify only their own files. 
 
Verify the Ubuntu operating system defines default permissions for all authenticated users with the following command:  
 
$ grep -i ""umask"" /etc/login.defs 
 
UMASK 077 
 
If the ""UMASK"" variable is set to ""000"", this is a finding with the severity raised to a CAT I. 
 
If the value of ""UMASK"" is not set to ""077"", is commented out, or is missing completely, this is a finding."
V-238204,high,Ubuntu operating systems when booted must require authentication upon booting into single-user and maintenance modes.,"To mitigate the risk of unauthorized access to sensitive information by entities that have been issued certificates by DoD-approved PKIs, all DoD systems (e.g., web servers and web portals) must be properly configured to incorporate access control methods that do not rely solely on the possession of a certificate for access.  
 
Successful authentication must not automatically give an entity access to an asset or security boundary. Authorization procedures and controls must be implemented to ensure each authenticated entity also has a validated and current authorization. Authorization is the process of determining whether an entity, once authenticated, is permitted to access a specific asset. Information systems use access control policies and enforcement mechanisms to implement this requirement. 
 
Access control policies include identity-based policies, role-based policies, and attribute-based policies. Access enforcement mechanisms include access control lists, access control matrices, and cryptography. These policies and mechanisms must be employed by the application to control access between users (or processes acting on behalf of users) and objects (e.g., devices, files, records, processes, programs, and domains) in the information system.",None,SV-238204r832936_rule,F-41373r832935_fix,"Configure the system to require a password for authentication upon booting into single-user and maintenance modes. 
 
Generate an encrypted (grub) password for root with the following command: 
 
$ grub-mkpasswd-pbkdf2 
Enter Password: 
Reenter Password: 
PBKDF2 hash of your password is grub.pbkdf2.sha512.10000.MFU48934NJD84NF8NSD39993JDHF84NG 
 
Using the hash from the output, modify the ""/etc/grub.d/40_custom"" file with the following command to add a boot password: 
 
$ sudo sed -i '$i set superusers=\""root\""\npassword_pbkdf2 root <hash>' /etc/grub.d/40_custom 
 
where <hash> is the hash generated by grub-mkpasswd-pbkdf2 command. 
 
Generate an updated ""grub.conf"" file with the new password by using the following command: 
 
$ sudo update-grub",C-41414r832934_chk,"Run the following command to verify the encrypted password is set: 
 
$ sudo grep -i password /boot/grub/grub.cfg 
 
password_pbkdf2 root grub.pbkdf2.sha512.10000.MFU48934NJA87HF8NSD34493GDHF84NG 
 
If the root password entry does not begin with ""password_pbkdf2"", this is a finding."
V-238205,medium,The Ubuntu operating system must uniquely identify interactive users.,"To assure accountability and prevent unauthenticated access, organizational users must be identified and authenticated to prevent potential misuse and compromise of the system. 
 
Organizational users include organizational employees or individuals the organization deems to have equivalent status of employees (e.g., contractors). Organizational users (and processes acting on behalf of users) must be uniquely identified and authenticated to all accesses, except for the following:  
 
1) Accesses explicitly identified and documented by the organization. Organizations document specific user actions that can be performed on the information system without identification or authentication; and 
 
2) Accesses that occur through authorized use of group authenticators without individual authentication. Organizations may require unique identification of individuals in group accounts (e.g., shared privilege accounts) or for detailed accountability of individual activity.

Satisfies: SRG-OS-000104-GPOS-00051, SRG-OS-000121-GPOS-00062",None,SV-238205r653790_rule,F-41374r653789_fix,"Edit the file ""/etc/passwd"" and provide each interactive user account that has a duplicate UID with a unique UID.",C-41415r653788_chk,"Verify the Ubuntu operating system contains no duplicate User IDs (UIDs) for interactive users with the following command: 
 
$ awk -F "":"" 'list[$3]++{print $1, $3}' /etc/passwd 
 
If output is produced and the accounts listed are interactive user accounts, this is a finding."
V-238206,high,The Ubuntu operating system must ensure only users who need access to security functions are part of sudo group.,"An isolation boundary provides access control and protects the integrity of the hardware, software, and firmware that perform security functions. 
 
Security functions are the hardware, software, and/or firmware of the information system responsible for enforcing the system security policy and supporting the isolation of code and data on which the protection is based. Operating systems implement code separation (i.e., separation of security functions from nonsecurity functions) in a number of ways, including through the provision of security kernels via processor rings or processor modes. For non-kernel code, security function isolation is often achieved through file system protections that serve to protect the code on disk and address space protections that protect executing code. 
 
Developers and implementers can increase the assurance in security functions by employing well-defined security policy models; structured, disciplined, and rigorous hardware and software development techniques; and sound system/security engineering principles. Implementation may include isolation of memory space and libraries.  
 
The Ubuntu operating system restricts access to security functions through the use of access control mechanisms and by implementing least privilege capabilities.",None,SV-238206r653793_rule,F-41375r653792_fix,"Configure the sudo group with only members requiring access to security functions. 
 
To remove a user from the sudo group, run: 
 
$ sudo gpasswd -d <username> sudo",C-41416r653791_chk,"Verify the sudo group has only members who should have access to security functions.  
 
$ grep sudo /etc/group 
 
sudo:x:27:foo 
 
If the sudo group contains users not needing access to security functions, this is a finding."
V-238207,medium,The Ubuntu operating system must automatically terminate a user session after inactivity timeouts have expired.,"Automatic session termination addresses the termination of user-initiated logical sessions in contrast to the termination of network connections that are associated with communications sessions (i.e., network disconnect). A logical session (for local, network, and remote access) is initiated whenever a user (or process acting on behalf of a user) accesses an organizational information system. Such user sessions can be terminated (and thus terminate user access) without terminating network sessions. 
 
Session termination terminates all processes associated with a user's logical session except those processes that are specifically created by the user (i.e., session owner) to continue after the session is terminated. 
 
Conditions or trigger events requiring automatic session termination can include, for example, organization-defined periods of user inactivity, targeted responses to certain types of incidents, and time-of-day restrictions on information system use. 
 
This capability is typically reserved for specific operating system functionality where the system owner, data owner, or organization requires additional assurance.",None,SV-238207r853404_rule,F-41376r653795_fix,"Configure the operating system to automatically terminate a user session after inactivity timeouts have expired or at shutdown. 
 
Create the file ""/etc/profile.d/99-terminal_tmout.sh"" file if it does not exist. 
 
Modify or append the following line in the ""/etc/profile.d/99-terminal_tmout.sh "" file: 
 
TMOUT=600 
 
This will set a timeout value of 10 minutes for all future sessions. 
 
To set the timeout for the current sessions, execute the following command over the terminal session: 
 
$ export TMOUT=600",C-41417r653794_chk,"Verify the operating system automatically terminates a user session after inactivity timeouts have expired. 
 
Check that ""TMOUT"" environment variable is set in the ""/etc/bash.bashrc"" file or in any file inside the ""/etc/profile.d/"" directory by performing the following command: 
 
$ grep -E ""\bTMOUT=[0-9]+"" /etc/bash.bashrc /etc/profile.d/* 
 
TMOUT=600 
 
If ""TMOUT"" is not set, or if the value is ""0"" or is commented out, this is a finding."
V-238200,medium,The Ubuntu operating system must allow users to directly initiate a session lock for all connection types.,"A session lock is a temporary action taken when a user stops work and moves away from the immediate physical vicinity of the information system but does not want to log out because of the temporary nature of the absence. 
 
The session lock is implemented at the point where session activity can be determined. Rather than be forced to wait for a period of time to expire before the user session can be locked, the Ubuntu operating systems need to provide users with the ability to manually invoke a session lock so users may secure their session if they need to temporarily vacate the immediate physical vicinity.

Satisfies: SRG-OS-000030-GPOS-00011, SRG-OS-000031-GPOS-00012",None,SV-238200r653775_rule,F-41369r653774_fix,"Install the ""vlock"" package (if it is not already installed) by running the following command: 
 
$ sudo apt-get install vlock",C-41410r653773_chk,"Verify the Ubuntu operating system has the ""vlock"" package installed by running the following command: 
 
$ dpkg -l | grep vlock 
 
If ""vlock"" is not installed, this is a finding."
V-238201,high,The Ubuntu operating system must map the authenticated identity to the user or group account for PKI-based authentication.,"Without mapping the certificate used to authenticate to the user account, the ability to determine the identity of the individual user or group will not be available for forensic analysis.",None,SV-238201r832933_rule,F-41370r653777_fix,"Set ""use_mappers=pwent"" in ""/etc/pam_pkcs11/pam_pkcs11.conf"" or, if there is already a comma-separated list of mappers, add it to the list, separated by comma, and before the null mapper. 
 
If the system is missing an ""/etc/pam_pkcs11/"" directory and an ""/etc/pam_pkcs11/pam_pkcs11.conf"", find an example to copy into place and modify accordingly at ""/usr/share/doc/libpam-pkcs11/examples/pam_pkcs11.conf.example.gz"".",C-41411r832932_chk,"Verify that ""use_mappers"" is set to ""pwent"" in ""/etc/pam_pkcs11/pam_pkcs11.conf"" file: 
 
$ grep use_mappers /etc/pam_pkcs11/pam_pkcs11.conf 
use_mappers = pwent 
 
If ""use_mappers"" is not found or the list does not contain ""pwent"" this is a finding."
V-238202,low,The Ubuntu operating system must enforce 24 hours/1 day as the minimum password lifetime. Passwords for new users must have a 24 hours/1 day minimum password lifetime restriction.,"Enforcing a minimum password lifetime helps to prevent repeated password changes to defeat the password reuse or history enforcement requirement. If users are allowed to immediately and continually change their password, then the password could be repeatedly changed in a short period of time to defeat the organization's policy regarding password reuse.",None,SV-238202r653781_rule,F-41371r653780_fix,"Configure the Ubuntu operating system to enforce a 24 hours/1 day minimum password lifetime. 
 
Add or modify the following line in the ""/etc/login.defs"" file: 
 
PASS_MIN_DAYS    1",C-41412r653779_chk,"Verify the Ubuntu operating system enforces a 24 hours/1 day minimum password lifetime for new user accounts by running the following command: 
 
$ grep -i ^pass_min_days /etc/login.defs 
 
PASS_MIN_DAYS    1 
 
If the ""PASS_MIN_DAYS"" parameter value is less than ""1"" or is commented out, this is a finding."
V-238203,low,The Ubuntu operating system must enforce a 60-day maximum password lifetime restriction. Passwords for new users must have a 60-day maximum password lifetime restriction.,"Any password, no matter how complex, can eventually be cracked. Therefore, passwords need to be changed periodically. If the operating system does not limit the lifetime of passwords and force users to change their passwords, there is the risk that the operating system passwords could be compromised.",None,SV-238203r653784_rule,F-41372r653783_fix,"Configure the Ubuntu operating system to enforce a 60-day maximum password lifetime. 
 
Add or modify the following line in the ""/etc/login.defs"" file: 
 
PASS_MAX_DAYS    60",C-41413r653782_chk,"Verify the Ubuntu operating system enforces a 60-day maximum password lifetime for new user accounts by running the following command: 
 
$ grep -i ^pass_max_days /etc/login.defs 
PASS_MAX_DAYS    60 
 
If the ""PASS_MAX_DAYS"" parameter value is less than ""60"" or is commented out, this is a finding."
